source,destination,distance_meters
Chennai_Distribution,Pune_Facility,1337000
Chennai_Distribution,Ahmedabad_DC,1316000
Chennai_Distribution,Jaipur_Hub,790000
Chennai_Distribution,Lucknow_Center,1232000
Chennai_Distribution,Kanpur_WH,443000
Chennai_Distribution,Nagpur_Distribution,1492000
Chennai_Distribution,Indore_Facility,192000
Chennai_Distribution,Bhopal_DC,143000
Chennai_Distribution,Surat_Hub,1404000
Chennai_Distribution,Vadodara_Center,516000
Chennai_Distribution,Patna_WH,642000
Chennai_Distribution,Ranchi_Distribution,213000
Chennai_Distribution,Chandigarh_Facility,526000
Chennai_Distribution,Amritsar_DC,256000
Kolkata_Center,Mumbai_Warehouse,613000
Kolkata_Center,Delhi_DC,1199000
Kolkata_Center,Bangalore_Hub,490000
Kolkata_Center,Chennai_Distribution,1180000
Kolkata_Center,Kolkata_Center,0
Kolkata_Center,Hyderabad_WH,828000
Kolkata_Center,Pune_Facility,619000
Kolkata_Center,Ahmedabad_DC,978000
Kolkata_Center,Jaipur_Hub,1351000
Kolkata_Center,Lucknow_Center,797000
Kolkata_Center,Kanpur_WH,383000
Kolkata_Center,Nagpur_Distribution,808000
Kolkata_Center,Indore_Facility,777000
Kolkata_Center,Bhopal_DC,479000
Kolkata_Center,Surat_Hub,1422000
Kolkata_Center,Vadodara_Center,596000
Kolkata_Center,Patna_WH,1487000
Kolkata_Center,Ranchi_Distribution,1449000
Kolkata_Center,Chandigarh_Facility,1377000
Kolkata_Center,Amritsar_DC,196000
Hyderabad_WH,Mumbai_Warehouse,551000
Hyderabad_WH,Delhi_DC,457000
Hyderabad_WH,Bangalore_Hub,739000
Hyderabad_WH,Chennai_Distribution,650000
Hyderabad_WH,Kolkata_Center,828000
Hyderabad_WH,Hyderabad_WH,0
Hyderabad_WH,Pune_Facility,1297000
Hyderabad_WH,Ahmedabad_DC,1350000
Hyderabad_WH,Jaipur_Hub,400000
Hyderabad_WH,Lucknow_Center,1143000
Hyderabad_WH,Kanpur_WH,551000
Hyderabad_WH,Nagpur_Distribution,384000
Hyderabad_WH,Indore_Facility,996000
Hyderabad_WH,Bhopal_DC,827000
Hyderabad_WH,Surat_Hub,602000
Hyderabad_WH,Vadodara_Center,1360000
Hyderabad_WH,Patna_WH,1459000
Hyderabad_WH,Ranchi_Distribution,1190000
Hyderabad_WH,Chandigarh_Facility,499000
Hyderabad_WH,Amritsar_DC,1452000
Pune_Facility,Mumbai_Warehouse,507000
Pune_Facility,Delhi_DC,1380000
Pune_Facility,Bangalore_Hub,259000
Pune_Facility,Chennai_Distribution,1337000
Pune_Facility,Kolkata_Center,619000
Pune_Facility,Hyderabad_WH,1297000
Pune_Facility,Pune_Facility,0
Pune_Facility,Ahmedabad_DC,714000
Pune_Facility,Jaipur_Hub,164000
Pune_Facility,Lucknow_Center,519000
Pune_Facility,Kanpur_WH,115000
Pune_Facility,Nagpur_Distribution,696000
Pune_Facility,Indore_Facility,871000
Pune_Facility,Bhopal_DC,598000
Pune_Facility,Surat_Hub,185000
Pune_Facility,Vadodara_Center,482000
Pune_Facility,Patna_WH,1211000
Pune_Facility,Ranchi_Distribution,694000
Pune_Facility,Chandigarh_Facility,485000
Pune_Facility,Amritsar_DC,1392000
Ahmedabad_DC,Mumbai_Warehouse,335000
Ahmedabad_DC,Delhi_DC,1486000
Ahmedabad_DC,Bangalore_Hub,239000
Ahmedabad_DC,Chennai_Distribution,1316000
Ahmedabad_DC,Kolkata_Center,978000
Ahmedabad_DC,Hyderabad_WH,1350000
Ahmedabad_DC,Pune_Facility,714000
Ahmedabad_DC,Ahmedabad_DC,0
Ahmedabad_DC,Jaipur_Hub,1072000
Ahmedabad_DC,Lucknow_Center,860000
Ahmedabad_DC,Kanpur_WH,1366000
Ahmedabad_DC,Nagpur_Distribution,989000
Ahmedabad_DC,Indore_Facility,342000
Ahmedabad_DC,Bhopal_DC,592000
Ahmedabad_DC,Surat_Hub,335000
Ahmedabad_DC,Vadodara_Center,555000
Ahmedabad_DC,Patna_WH,1199000
Ahmedabad_DC,Ranchi_Distribution,1153000
Ahmedabad_DC,Chandigarh_Facility,588000
Ahmedabad_DC,Amritsar_DC,1247000
Jaipur_Hub,Mumbai_Warehouse,259000
Jaipur_Hub,Delhi_DC,1166000
Jaipur_Hub,Bangalore_Hub,828000
Jaipur_Hub,Chennai_Distribution,790000
Jaipur_Hub,Kolkata_Center,1351000
Jaipur_Hub,Hyderabad_WH,400000
Jaipur_Hub,Pune_Facility,164000
Jaipur_Hub,Ahmedabad_DC,1072000
Jaipur_Hub,Jaipur_Hub,0
Jaipur_Hub,Lucknow_Center,927000
Jaipur_Hub,Kanpur_WH,1245000
Jaipur_Hub,Nagpur_Distribution,867000
Jaipur_Hub,Indore_Facility,791000
Jaipur_Hub,Bhopal_DC,499000
Jaipur_Hub,Surat_Hub,333000
Jaipur_Hub,Vadodara_Center,1093000
Jaipur_Hub,Patna_WH,1060000
Jaipur_Hub,Ranchi_Distribution,236000
Jaipur_Hub,Chandigarh_Facility,146000
Jaipur_Hub,Amritsar_DC,274000
Lucknow_Center,Mumbai_Warehouse,1435000
Lucknow_Center,Delhi_DC,909000
Lucknow_Center,Bangalore_Hub,248000
Lucknow_Center,Chennai_Distribution,1232000
Lucknow_Center,Kolkata_Center,797000
Lucknow_Center,Hyderabad_WH,1143000
Lucknow_Center,Pune_Facility,519000
Lucknow_Center,Ahmedabad_DC,860000
Lucknow_Center,Jaipur_Hub,927000
Lucknow_Center,Lucknow_Center,0
Lucknow_Center,Kanpur_WH,363000
Lucknow_Center,Nagpur_Distribution,1335000
Lucknow_Center,Indore_Facility,377000
Lucknow_Center,Bhopal_DC,1443000
Lucknow_Center,Surat_Hub,914000
Lucknow_Center,Vadodara_Center,1271000
Lucknow_Center,Patna_WH,180000
Lucknow_Center,Ranchi_Distribution,838000
Lucknow_Center,Chandigarh_Facility,831000
Lucknow_Center,Amritsar_DC,1270000
Kanpur_WH,Mumbai_Warehouse,1166000
Kanpur_WH,Delhi_DC,501000
Kanpur_WH,Bangalore_Hub,785000
Kanpur_WH,Chennai_Distribution,443000
Kanpur_WH,Kolkata_Center,383000
Kanpur_WH,Hyderabad_WH,551000
Kanpur_WH,Pune_Facility,115000
Kanpur_WH,Ahmedabad_DC,1366000
Kanpur_WH,Jaipur_Hub,1245000
Kanpur_WH,Lucknow_Center,363000
Kanpur_WH,Kanpur_WH,0
Kanpur_WH,Nagpur_Distribution,1008000
Kanpur_WH,Indore_Facility,1133000
Kanpur_WH,Bhopal_DC,564000
Kanpur_WH,Surat_Hub,1183000
Kanpur_WH,Vadodara_Center,73000
Kanpur_WH,Patna_WH,1443000
Kanpur_WH,Ranchi_Distribution,284000
Kanpur_WH,Chandigarh_Facility,1446000
Kanpur_WH,Amritsar_DC,1149000
Nagpur_Distribution,Mumbai_Warehouse,228000
Nagpur_Distribution,Delhi_DC,969000
Nagpur_Distribution,Bangalore_Hub,754000
Nagpur_Distribution,Chennai_Distribution,1492000
Nagpur_Distribution,Kolkata_Center,808000
Nagpur_Distribution,Hyderabad_WH,384000
Nagpur_Distribution,Pune_Facility,696000
Nagpur_Distribution,Ahmedabad_DC,989000
Nagpur_Distribution,Jaipur_Hub,867000
Nagpur_Distribution,Lucknow_Center,1335000
Nagpur_Distribution,Kanpur_WH,1008000
Nagpur_Distribution,Nagpur_Distribution,0
Nagpur_Distribution,Indore_Facility,596000
Nagpur_Distribution,Bhopal_DC,1362000
Nagpur_Distribution,Surat_Hub,746000
Nagpur_Distribution,Vadodara_Center,278000
Nagpur_Distribution,Patna_WH,651000
Nagpur_Distribution,Ranchi_Distribution,940000
Nagpur_Distribution,Chandigarh_Facility,373000
Nagpur_Distribution,Amritsar_DC,979000
Indore_Facility,Mumbai_Warehouse,1259000
Indore_Facility,Delhi_DC,1256000
Indore_Facility,Bangalore_Hub,1286000
Indore_Facility,Chennai_Distribution,192000
Indore_Facility,Kolkata_Center,777000
Indore_Facility,Hyderabad_WH,996000
Indore_Facility,Pune_Facility,871000
Indore_Facility,Ahmedabad_DC,342000
Indore_Facility,Jaipur_Hub,791000
Indore_Facility,Lucknow_Center,377000
Indore_Facility,Kanpur_WH,1133000
Indore_Facility,Nagpur_Distribution,596000
Indore_Facility,Indore_Facility,0
Indore_Facility,Bhopal_DC,56000
Indore_Facility,Surat_Hub,589000
Indore_Facility,Vadodara_Center,1075000
Indore_Facility,Patna_WH,415000
Indore_Facility,Ranchi_Distribution,1089000
Indore_Facility,Chandigarh_Facility,267000
Indore_Facility,Amritsar_DC,1330000
Bhopal_DC,Mumbai_Warehouse,914000
Bhopal_DC,Delhi_DC,619000
Bhopal_DC,Bangalore_Hub,591000
Bhopal_DC,Chennai_Distribution,143000
Bhopal_DC,Kolkata_Center,479000
Bhopal_DC,Hyderabad_WH,827000
Bhopal_DC,Pune_Facility,598000
Bhopal_DC,Ahmedabad_DC,592000
Bhopal_DC,Jaipur_Hub,499000
Bhopal_DC,Lucknow_Center,1443000
Bhopal_DC,Kanpur_WH,564000
Bhopal_DC,Nagpur_Distribution,1362000
Bhopal_DC,Indore_Facility,56000
Bhopal_DC,Bhopal_DC,0
Bhopal_DC,Surat_Hub,661000
Bhopal_DC,Vadodara_Center,1358000
Bhopal_DC,Patna_WH,1089000
Bhopal_DC,Ranchi_Distribution,1297000
Bhopal_DC,Chandigarh_Facility,457000
Bhopal_DC,Amritsar_DC,363000
Surat_Hub,Mumbai_Warehouse,115000
Surat_Hub,Delhi_DC,63000
Surat_Hub,Bangalore_Hub,138000
Surat_Hub,Chennai_Distribution,1404000
Surat_Hub,Kolkata_Center,1422000
Surat_Hub,Hyderabad_WH,602000
Surat_Hub,Pune_Facility,185000
Surat_Hub,Ahmedabad_DC,335000
Surat_Hub,Jaipur_Hub,333000
Surat_Hub,Lucknow_Center,914000
Surat_Hub,Kanpur_WH,1183000
Surat_Hub,Nagpur_Distribution,746000
Surat_Hub,Indore_Facility,589000
Surat_Hub,Bhopal_DC,661000
Surat_Hub,Surat_Hub,0
Surat_Hub,Vadodara_Center,815000
Surat_Hub,Patna_WH,380000
Surat_Hub,Ranchi_Distribution,1154000
Surat_Hub,Chandigarh_Facility,1136000
Surat_Hub,Amritsar_DC,51000
Vadodara_Center,Mumbai_Warehouse,111000
Vadodara_Center,Delhi_DC,376000
Vadodara_Center,Bangalore_Hub,990000
Vadodara_Center,Chennai_Distribution,516000
Vadodara_Center,Kolkata_Center,596000
Vadodara_Center,Hyderabad_WH,1360000
Vadodara_Center,Pune_Facility,482000
Vadodara_Center,Ahmedabad_DC,555000
Vadodara_Center,Jaipur_Hub,1093000
Vadodara_Center,Lucknow_Center,1271000
Vadodara_Center,Kanpur_WH,73000
Vadodara_Center,Nagpur_Distribution,278000
Vadodara_Center,Indore_Facility,1075000
Vadodara_Center,Bhopal_DC,1358000
Vadodara_Center,Surat_Hub,815000
Vadodara_Center,Vadodara_Center,0
Vadodara_Center,Patna_WH,1276000
Vadodara_Center,Ranchi_Distribution,713000
Vadodara_Center,Chandigarh_Facility,1050000
Vadodara_Center,Amritsar_DC,89000
Patna_WH,Mumbai_Warehouse,241000
Patna_WH,Delhi_DC,1479000
Patna_WH,Bangalore_Hub,1148000
Patna_WH,Chennai_Distribution,642000
Patna_WH,Kolkata_Center,1487000
Patna_WH,Hyderabad_WH,1459000
Patna_WH,Pune_Facility,1211000
Patna_WH,Ahmedabad_DC,1199000
Patna_WH,Jaipur_Hub,1060000
Patna_WH,Lucknow_Center,180000
Patna_WH,Kanpur_WH,1443000
Patna_WH,Nagpur_Distribution,651000
Patna_WH,Indore_Facility,415000
Patna_WH,Bhopal_DC,1089000
Patna_WH,Surat_Hub,380000
Patna_WH,Vadodara_Center,1276000
Patna_WH,Patna_WH,0
Patna_WH,Ranchi_Distribution,279000
Patna_WH,Chandigarh_Facility,793000
Patna_WH,Amritsar_DC,679000
Ranchi_Distribution,Mumbai_Warehouse,497000
Ranchi_Distribution,Delhi_DC,915000
Ranchi_Distribution,Bangalore_Hub,305000
Ranchi_Distribution,Chennai_Distribution,213000
Ranchi_Distribution,Kolkata_Center,1449000
Ranchi_Distribution,Hyderabad_WH,1190000
Ranchi_Distribution,Pune_Facility,694000
Ranchi_Distribution,Ahmedabad_DC,1153000
Ranchi_Distribution,Jaipur_Hub,236000
Ranchi_Distribution,Lucknow_Center,838000
Ranchi_Distribution,Kanpur_WH,284000
Ranchi_Distribution,Nagpur_Distribution,940000
Ranchi_Distribution,Indore_Facility,1089000
Ranchi_Distribution,Bhopal_DC,1297000
Ranchi_Distribution,Surat_Hub,1154000
Ranchi_Distribution,Vadodara_Center,713000
Ranchi_Distribution,Patna_WH,279000
Ranchi_Distribution,Ranchi_Distribution,0
Ranchi_Distribution,Chandigarh_Facility,540000
Ranchi_Distribution,Amritsar_DC,168000
Chandigarh_Facility,Mumbai_Warehouse,526000
Chandigarh_Facility,Delhi_DC,746000
Chandigarh_Facility,Bangalore_Hub,825000
Chandigarh_Facility,Chennai_Distribution,526000
Chandigarh_Facility,Kolkata_Center,1377000
Chandigarh_Facility,Hyderabad_WH,499000
Chandigarh_Facility,Pune_Facility,485000
Chandigarh_Facility,Ahmedabad_DC,588000
Chandigarh_Facility,Jaipur_Hub,146000
Chandigarh_Facility,Lucknow_Center,831000
Chandigarh_Facility,Kanpur_WH,1446000
Chandigarh_Facility,Nagpur_Distribution,373000
Chandigarh_Facility,Indore_Facility,267000
Chandigarh_Facility,Bhopal_DC,457000
Chandigarh_Facility,Surat_Hub,1136000
Chandigarh_Facility,Vadodara_Center,1050000
Chandigarh_Facility,Patna_WH,793000
Chandigarh_Facility,Ranchi_Distribution,540000
Chandigarh_Facility,Chandigarh_Facility,0
Chandigarh_Facility,Amritsar_DC,543000
Amritsar_DC,Mumbai_Warehouse,1084000
Amritsar_DC,Delhi_DC,619000
Amritsar_DC,Bangalore_Hub,211000
Amritsar_DC,Chennai_Distribution,256000
Amritsar_DC,Kolkata_Center,196000
Amritsar_DC,Hyderabad_WH,1452000
Amritsar_DC,Pune_Facility,1392000
Amritsar_DC,Ahmedabad_DC,1247000
Amritsar_DC,Jaipur_Hub,274000
Amritsar_DC,Lucknow_Center,1270000
Amritsar_DC,Kanpur_WH,1149000
Amritsar_DC,Nagpur_Distribution,979000
Amritsar_DC,Indore_Facility,1330000
Amritsar_DC,Bhopal_DC,363000
Amritsar_DC,Surat_Hub,51000
Amritsar_DC,Vadodara_Center,89000
Amritsar_DC,Patna_WH,679000
Amritsar_DC,Ranchi_Distribution,168000
Amritsar_DC,Chandigarh_Facility,543000
Amritsar_DC,Amritsar_DC,0
